,m,n,c,r1,M,r2,mdf,fobj,optiter,solveriter,time,scc
143,10,15,1,4930,1,823155374,True,0.0,4.0,96.0,4.135727800000041,"[2, 3, 2]"
144,10,15,1,4930,2,287852352,False,0.86,361.0,0.0,33.648614599999746,"[3, 3]"
145,10,15,1,4930,2,287852352,True,0.0,4.0,24.0,1.1688856999999189,"[3, 3]"
146,10,15,1,4930,1,287852352,False,8259.82,124.0,0.0,9.138542199999392,"[2, 3, 2]"
147,10,15,1,4930,1,287852352,True,0.0,4.0,98.0,4.149760100000094,"[2, 3, 2]"
148,10,15,1,4930,2,2097889541,False,2.53,372.0,0.0,33.80464049999955,"[3, 3]"
149,10,15,1,4930,2,2097889541,True,0.0,4.0,27.0,1.289961200000107,"[3, 3]"
150,10,15,1,4930,1,2097889541,False,0.0,129.0,0.0,15.298507800000152,"[2, 3, 2]"
151,10,15,1,4930,1,2097889541,True,0.0,4.0,73.0,2.9939661999997043,"[2, 3, 2]"
152,10,15,1,4930,2,973879302,False,0.28,63.0,0.0,8.816141099999186,"[3, 3]"
153,10,15,1,4930,2,973879302,True,0.0,4.0,228.0,10.645095699999729,"[3, 3]"
154,10,15,1,4930,1,973879302,False,4.32,350.0,0.0,34.449821999999585,"[2, 3, 2]"
155,10,15,1,4930,1,973879302,True,0.0,4.0,871.0,35.09650959999999,"[2, 3, 2]"
156,10,15,1,4930,2,267191831,False,2.0,234.0,0.0,25.966162499999882,"[3, 3]"
157,10,15,1,4930,2,267191831,True,0.0,4.0,58.0,3.45929630000046,"[3, 3]"
158,10,15,1,4930,1,267191831,False,2.03,82.0,0.0,11.839445000000524,"[2, 3, 2]"
159,10,15,1,4930,1,267191831,True,0.0,4.0,451.0,17.91149780000069,"[2, 3, 2]"
160,10,15,1,2685,2,2065143098,False,0.0,4.0,0.0,0.2663887999997314,[]
161,10,15,1,2685,2,2065143098,True,0.0,4.0,0.0,0.25408539999989443,[]
162,10,15,1,2685,1,2065143098,False,1.0,307.0,0.0,28.044585800000277,[4]
163,10,15,1,2685,1,2065143098,True,0.0,4.0,410.0,26.350061099999948,[4]
