,m,ncoeff,n,sparsity,seed,maxscc,guess,timeMINFAS,MINFAS,timetearpart,mintearpart,timetearfull,mintearfull,timescc,minscc,density
379,30,0.2,36,1,4,2.0,11.0,0.009168624877929688,1.0,0.022192001342773438,1.0,0.020009994506835938,0.0,0.00501251220703125,0.0,2.1666666666666665
380,30,0.2,36,1,5,2.0,7.0,0.0060272216796875,1.0,0.022661209106445312,1.0,0.006916046142578125,0.0,0.00093841552734375,0.0,1.8333333333333333
381,30,0.2,36,1,6,0.0,7.0,0.0,0.0,0.02500152587890625,0.0,0.025485992431640625,0.0,0.001995086669921875,0.0,2.1333333333333333
382,30,0.2,36,1,7,10.0,17.0,0.008058547973632812,3.0,0.09314727783203125,2.0,0.046245574951171875,0.0,0.020360946655273438,0.0,2.533333333333333
383,30,0.2,36,1,8,0.0,8.0,0.0,0.0,0.0,0.0,0.016733169555664062,0.0,0.00527191162109375,0.0,2.033333333333333
384,30,0.2,36,1,9,2.0,11.0,0.0051593780517578125,2.0,0.0064067840576171875,2.0,0.022584915161132812,1.0,0.009695053100585938,2.0,2.2666666666666666
385,30,0.5,45,1,0,0.0,6.0,0.000980377197265625,0.0,0.0040073394775390625,0.0,0.0119781494140625,0.0,0.0,0.0,2.1
386,30,0.5,45,1,1,5.0,8.0,0.010120391845703125,2.0,0.009958267211914062,2.0,0.0051136016845703125,0.0,0.0,0.0,2.5
387,30,0.5,45,1,2,0.0,5.0,0.0,0.0,0.00823211669921875,0.0,0.01021575927734375,0.0,0.0036449432373046875,0.0,2.1
388,30,0.5,45,1,3,0.0,8.0,0.0,0.0,0.0051021575927734375,0.0,0.002117156982421875,0.0,0.000591278076171875,0.0,2.3
389,30,0.5,45,1,4,0.0,14.0,0.0,0.0,0.004718780517578125,0.0,0.0,0.0,0.0009975433349609375,0.0,2.3
390,30,0.5,45,1,5,0.0,6.0,0.0010280609130859375,0.0,0.0039043426513671875,0.0,0.00399017333984375,0.0,0.000972747802734375,0.0,2.1333333333333333
391,30,0.5,45,1,6,0.0,9.0,0.0009975433349609375,0.0,0.0059967041015625,0.0,0.00604248046875,0.0,0.003993988037109375,0.0,2.2666666666666666
392,30,0.5,45,1,7,0.0,13.0,0.0009708404541015625,0.0,0.019048690795898438,0.0,0.029010772705078125,0.0,0.0019989013671875,0.0,2.6
