,m,ncoeff,n,sparsity,seed,maxscc,minscc,time
400,25,0.2,30,1.0,0,19,5.0,0.2032604217529297
401,25,0.2,30,1.0,1,12,4.0,0.13605499267578125
402,25,0.2,30,1.0,2,3,3.0,0.06908798217773438
403,25,0.2,30,1.0,3,12,0.0,0.01943206787109375
404,25,0.2,30,1.0,4,7,6.0,0.22615432739257812
405,25,0.2,30,1.0,5,17,8.0,0.19951438903808594
406,25,0.2,30,1.0,6,6,5.0,0.2075653076171875
407,25,0.2,30,1.0,7,19,13.0,2.1786422729492188
408,25,0.2,30,1.0,8,15,3.0,0.2874908447265625
409,25,0.2,30,1.0,9,11,8.0,3.4471473693847656
410,25,0.2,30,1.5,0,19,12.0,1.9249038696289062
411,25,0.2,30,1.5,1,19,12.0,2.454824447631836
412,25,0.2,30,1.5,2,15,9.0,0.629608154296875
413,25,0.2,30,1.5,3,11,3.0,0.13487815856933594
414,25,0.2,30,1.5,4,20,13.0,75.30490684509277
415,25,0.2,30,1.5,5,21,7.0,0.9108371734619141
416,25,0.2,30,1.5,6,22,16.0,8.611495971679688
417,25,0.2,30,1.5,7,23,17.0,63.28425216674805
418,25,0.2,30,1.5,8,18,10.0,14.2926025390625
419,25,0.2,30,1.5,9,21,14.0,7.17414665222168
420,25,0.5,37,0.5,0,0,0.0,0.0072574615478515625
421,25,0.5,37,0.5,1,0,0.0,0.015508651733398438
422,25,0.5,37,0.5,2,4,1.0,0.025821685791015625
423,25,0.5,37,0.5,3,0,0.0,0.0046024322509765625
424,25,0.5,37,0.5,4,0,0.0,0.028604507446289062
425,25,0.5,37,0.5,5,0,0.0,0.0070018768310546875
426,25,0.5,37,0.5,6,0,0.0,0.0059833526611328125
427,25,0.5,37,0.5,7,10,1.0,0.019933700561523438
428,25,0.5,37,0.5,8,5,0.0,0.03087615966796875
429,25,0.5,37,0.5,9,2,0.0,0.03277587890625
430,25,0.5,37,1.0,0,5,2.0,0.09659767150878906
431,25,0.5,37,1.0,1,6,1.0,0.5431938171386719
432,25,0.5,37,1.0,2,2,0.0,0.0
433,25,0.5,37,1.0,3,3,2.0,0.06402587890625
434,25,0.5,37,1.0,4,9,2.0,0.04798698425292969
435,25,0.5,37,1.0,5,15,0.0,0.03990364074707031
436,25,0.5,37,1.0,6,17,2.0,0.09918022155761719
437,25,0.5,37,1.0,7,15,6.0,0.40985679626464844
438,25,0.5,37,1.0,8,4,2.0,0.1045989990234375
439,25,0.5,37,1.0,9,10,3.0,0.47178077697753906
440,25,0.5,37,1.5,0,18,4.0,0.7229518890380859
441,25,0.5,37,1.5,1,21,4.0,0.744903564453125
442,25,0.5,37,1.5,2,13,1.0,0.18236923217773438
443,25,0.5,37,1.5,3,17,3.0,1.0227622985839844
444,25,0.5,37,1.5,4,22,6.0,1.0741939544677734
445,25,0.5,37,1.5,5,21,6.0,1.1652507781982422
446,25,0.5,37,1.5,6,13,5.0,1.0102386474609375
447,25,0.5,37,1.5,7,21,8.0,1.5422992706298828
448,25,0.5,37,1.5,8,23,8.0,34.20279312133789
449,25,0.5,37,1.5,9,21,11.0,15.957799911499023
450,50,0.1,55,0.5,0,0,0.0,0.0283966064453125
451,50,0.1,55,0.5,1,2,2.0,0.08532524108886719
452,50,0.1,55,0.5,2,0,0.0,0.054386138916015625
