,m,n,c,r1,M,r2,mdf,fobj,optiter,solveriter,time,scc
320,10,15,1,41743,2,1803631832,False,,,,,
321,10,15,1,41743,2,1803631832,True,,,,,
322,10,15,1,41743,1,1803631832,False,,,,,
323,10,15,1,41743,1,1803631832,True,,,,,
324,10,15,1,41743,2,740102319,False,,,,,
325,10,15,1,41743,2,740102319,True,,,,,
326,10,15,1,41743,1,740102319,False,,,,,
327,10,15,1,41743,1,740102319,True,,,,,
328,10,15,1,41743,2,558555015,False,,,,,
329,10,15,1,41743,2,558555015,True,,,,,
330,10,15,1,41743,1,558555015,False,,,,,
331,10,15,1,41743,1,558555015,True,,,,,
332,10,15,1,41743,2,1727528595,False,,,,,
333,10,15,1,41743,2,1727528595,True,,,,,
334,10,15,1,41743,1,1727528595,False,,,,,
335,10,15,1,41743,1,1727528595,True,,,,,
336,10,15,1,41743,2,1273331140,False,,,,,
337,10,15,1,41743,2,1273331140,True,,,,,
338,10,15,1,41743,1,1273331140,False,,,,,
339,10,15,1,41743,1,1273331140,True,,,,,
340,10,15,1,41743,2,461373845,False,,,,,
341,10,15,1,41743,2,461373845,True,,,,,
342,10,15,1,41743,1,461373845,False,,,,,
343,10,15,1,41743,1,461373845,True,,,,,
344,10,15,1,41743,2,1831015078,False,,,,,
345,10,15,1,41743,2,1831015078,True,,,,,
346,10,15,1,41743,1,1831015078,False,,,,,
347,10,15,1,41743,1,1831015078,True,,,,,
348,10,15,1,41743,2,1653715901,False,,,,,
349,10,15,1,41743,2,1653715901,True,,,,,
350,10,15,1,41743,1,1653715901,False,,,,,
351,10,15,1,41743,1,1653715901,True,,,,,
352,10,15,1,41743,2,1377241756,False,,,,,
353,10,15,1,41743,2,1377241756,True,,,,,
354,10,15,1,41743,1,1377241756,False,,,,,
355,10,15,1,41743,1,1377241756,True,,,,,
356,10,15,1,41743,2,981769744,False,,,,,
357,10,15,1,41743,2,981769744,True,,,,,
358,10,15,1,41743,1,981769744,False,,,,,
359,10,15,1,41743,1,981769744,True,,,,,
360,10,15,1,55746,2,1760134976,False,,,,,
361,10,15,1,55746,2,1760134976,True,,,,,
362,10,15,1,55746,1,1760134976,False,,,,,
363,10,15,1,55746,1,1760134976,True,,,,,
364,10,15,1,55746,2,1170534942,False,,,,,
365,10,15,1,55746,2,1170534942,True,,,,,
366,10,15,1,55746,1,1170534942,False,,,,,
367,10,15,1,55746,1,1170534942,True,,,,,
368,10,15,1,55746,2,317660153,False,,,,,
369,10,15,1,55746,2,317660153,True,,,,,
370,10,15,1,55746,1,317660153,False,,,,,
371,10,15,1,55746,1,317660153,True,,,,,
372,10,15,1,55746,2,116244473,False,,,,,
373,10,15,1,55746,2,116244473,True,,,,,
374,10,15,1,55746,1,116244473,False,,,,,
375,10,15,1,55746,1,116244473,True,,,,,
376,10,15,1,55746,2,1617120057,False,,,,,
377,10,15,1,55746,2,1617120057,True,,,,,
378,10,15,1,55746,1,1617120057,False,,,,,
379,10,15,1,55746,1,1617120057,True,,,,,
380,10,15,1,55746,2,2106555451,False,,,,,
381,10,15,1,55746,2,2106555451,True,,,,,
382,10,15,1,55746,1,2106555451,False,,,,,
383,10,15,1,55746,1,2106555451,True,,,,,
384,10,15,1,55746,2,1097125525,False,,,,,
385,10,15,1,55746,2,1097125525,True,,,,,
386,10,15,1,55746,1,1097125525,False,,,,,
387,10,15,1,55746,1,1097125525,True,,,,,
388,10,15,1,55746,2,1446720800,False,,,,,
389,10,15,1,55746,2,1446720800,True,,,,,
390,10,15,1,55746,1,1446720800,False,,,,,
391,10,15,1,55746,1,1446720800,True,,,,,
392,10,15,1,55746,2,1094134074,False,,,,,
393,10,15,1,55746,2,1094134074,True,,,,,
394,10,15,1,55746,1,1094134074,False,,,,,
395,10,15,1,55746,1,1094134074,True,,,,,
396,10,15,1,55746,2,1248920238,False,,,,,
397,10,15,1,55746,2,1248920238,True,,,,,
398,10,15,1,55746,1,1248920238,False,,,,,
399,10,15,1,55746,1,1248920238,True,,,,,
