,m,ncoeff,n,sparsity,seed,maxscc,guess,timetear,mintear,timescc,minscc,timeguess,minguess
43,10,0.1,11,1.0,3,7.0,6,0.0050640106201171,2.0,0.0385761260986328,2.0,0.0407676696777343,1.0
44,10,0.1,11,1.0,4,8.0,7,0.0040321350097656,2.0,0.0561504364013671,4.0,0.0902423858642578,2.0
45,10,0.1,11,1.0,5,4.0,5,0.0030059814453125,1.0,0.0269031524658203,4.0,0.0140094757080078,1.0
46,10,0.1,11,1.0,6,10.0,6,0.0043716430664062,1.0,0.1109619140625,5.0,0.0356330871582031,1.0
47,10,0.1,11,1.0,7,9.0,7,0.0030021667480468,2.0,0.1005439758300781,7.0,0.0338497161865234,1.0
48,10,0.1,11,1.0,8,6.0,4,0.0020961761474609,2.0,0.0189971923828125,3.0,0.0239238739013671,1.0
49,10,0.1,11,1.0,9,8.0,4,0.0040874481201171,2.0,0.1536483764648437,8.0,0.0975799560546875,1.0
50,10,0.1,11,1.5,0,10.0,7,0.011087417602539,3.0,0.2081508636474609,9.0,0.20733642578125,2.0
51,10,0.1,11,1.5,1,10.0,4,0.0058841705322265,2.0,1.0125408172607422,10.0,0.8498001098632812,2.0
52,10,0.1,11,1.5,2,9.0,6,0.0050487518310546,3.0,0.2161598205566406,8.0,0.1972217559814453,2.0
53,10,0.1,11,1.5,3,8.0,8,0.0090503692626953,3.0,0.2322158813476562,7.0,0.1729011535644531,2.0
54,10,0.1,11,1.5,4,10.0,7,0.0121574401855468,4.0,0.4803047180175781,10.0,0.4450531005859375,2.0
55,10,0.1,11,1.5,5,9.0,5,0.0049953460693359,2.0,0.1939163208007812,8.0,0.1332302093505859,1.0
56,10,0.1,11,1.5,6,10.0,9,0.0170459747314453,4.0,0.5394668579101562,9.0,0.6226177215576172,2.0
57,10,0.1,11,1.5,7,9.0,7,0.0040092468261718,3.0,0.7143592834472656,9.0,0.5204696655273438,2.0
58,10,0.1,11,1.5,8,8.0,6,0.0089969635009765,2.0,0.2879199981689453,8.0,0.2703666687011719,2.0
59,10,0.1,11,1.5,9,10.0,7,0.0119991302490234,5.0,1.737712860107422,10.0,1.4710731506347656,3.0
60,10,0.2,12,0.5,0,0.0,2,0.0,0.0,0.0,0.0,0.0019969940185546,0.0
61,10,0.2,12,0.5,1,2.0,4,0.0019989013671875,1.0,0.0010013580322265,0.0,0.0031909942626953,0.0
62,10,0.2,12,0.5,2,0.0,2,0.0,0.0,0.0009937286376953,0.0,0.0009937286376953,0.0
63,10,0.2,12,0.5,3,0.0,3,0.0,0.0,0.0010185241699218,0.0,0.0050182342529296,0.0
64,10,0.2,12,0.5,4,2.0,4,0.0020027160644531,1.0,0.0059986114501953,2.0,0.0029869079589843,1.0
